type,handle,field,english,arabic
product,1-fc-k-ln-2026-27-away-shirt,title,1. FC Köln 2026/27 Away Shirt,قميص كولن 2026/27 الاحتياطي
collection,,title,1. FC Köln,كولن
product,1-fc-union-berlin-2025-26-home-shirt,title,1. FC Union Berlin 2025/26 Home Shirt,قميص أونيون برلين 2025/26 الأساسي
collection,,title,1. FC Union Berlin,أونيون برلين
product,1-fc-union-berlin-2026-27-home-shirt,title,1. FC Union Berlin 2026/27 Home Shirt,قميص أونيون برلين 2026/27 الأساسي
product,ac-milan-2025-26-away-shirt,title,AC Milan 2025/26 Away Shirt,قميص ميلان 2025/26 الاحتياطي
collection,,title,AC Milan,ميلان
product,ac-milan-2025-26-home-shirt,title,AC Milan 2025/26 Home Shirt,قميص ميلان 2025/26 الأساسي
product,ac-milan-2025-26-third-shirt,title,AC Milan 2025/26 Third Shirt,قميص ميلان 2025/26 الثالث
product,ac-milan-2026-third-shirt,title,AC Milan 2026 Third Shirt,قميص ميلان 2026 الثالث
product,ac-milan-2026-27-home-shirt,title,AC Milan 2026/27 Home Shirt,قميص ميلان 2026/27 الأساسي
product,ac-milan-2026-27-third-shirt,title,AC Milan 2026/27 Third Shirt,قميص ميلان 2026/27 الثالث
product,alav-s-2026-27-third-shirt,title,Alavés 2026/27 Third Shirt,قميص ألافيس 2026/27 الثالث
collection,,title,Alavés,ألافيس
product,albania-2026-third-shirt,title,Albania 2026 Third Shirt,قميص ألبانيا 2026 الثالث
collection,,title,Albania,ألبانيا
product,algeria-2025-26-home-shirt,title,Algeria 2025/26 Home Shirt,قميص الجزائر 2025/26 الأساسي
collection,,title,Algeria,الجزائر
product,algeria-2026-away-shirt,title,Algeria 2026 Away Shirt,قميص الجزائر 2026 الاحتياطي
product,algeria-2026-home-shirt,title,Algeria 2026 Home Shirt,قميص الجزائر 2026 الأساسي
product,algeria-2026-27-home-shirt,title,Algeria 2026/27 Home Shirt,قميص الجزائر 2026/27 الأساسي
product,argentina-2025-26-home-shirt,title,Argentina 2025/26 Home Shirt,قميص الأرجنتين 2025/26 الأساسي
collection,,title,Argentina,الأرجنتين
product,argentina-2026-away-shirt,title,Argentina 2026 Away Shirt,قميص الأرجنتين 2026 الاحتياطي
product,argentina-2026-home-shirt,title,Argentina 2026 Home Shirt,قميص الأرجنتين 2026 الأساسي
product,argentina-2026-27-away-shirt,title,Argentina 2026/27 Away Shirt,قميص الأرجنتين 2026/27 الاحتياطي
product,argentina-2026-27-home-shirt,title,Argentina 2026/27 Home Shirt,قميص الأرجنتين 2026/27 الأساسي
product,armenia-2025-26-third-shirt,title,Armenia 2025/26 Third Shirt,قميص أرمينيا 2025/26 الثالث
collection,,title,Armenia,أرمينيا
product,arsenal-2025-26-away-shirt,title,Arsenal 2025/26 Away Shirt,قميص أرسنال 2025/26 الاحتياطي
collection,,title,Arsenal,أرسنال
product,arsenal-2025-26-home-shirt,title,Arsenal 2025/26 Home Shirt,قميص أرسنال 2025/26 الأساسي
product,arsenal-2025-26-third-shirt,title,Arsenal 2025/26 Third Shirt,قميص أرسنال 2025/26 الثالث
product,arsenal-2026-27-home-shirt,title,Arsenal 2026/27 Home Shirt,قميص أرسنال 2026/27 الأساسي
product,aston-villa-2025-26-third-shirt,title,Aston Villa 2025/26 Third Shirt,قميص أستون فيلا 2025/26 الثالث
collection,,title,Aston Villa,أستون فيلا
product,atalanta-2025-26-home-shirt,title,Atalanta 2025/26 Home Shirt,قميص أتالانتا 2025/26 الأساسي
collection,,title,Atalanta,أتالانتا
product,atalanta-2026-27-home-shirt,title,Atalanta 2026/27 Home Shirt,قميص أتالانتا 2026/27 الأساسي
product,athletic-bilbao-2026-27-third-shirt,title,Athletic Bilbao 2026/27 Third Shirt,قميص أتلتيك بلباو 2026/27 الثالث
collection,,title,Athletic Bilbao,أتلتيك بلباو
product,atl-tico-madrid-2025-26-home-shirt,title,Atlético Madrid 2025/26 Home Shirt,قميص أتلتيكو مدريد 2025/26 الأساسي
collection,,title,Atlético Madrid,أتلتيكو مدريد
product,atl-tico-madrid-2026-27-away-shirt,title,Atlético Madrid 2026/27 Away Shirt,قميص أتلتيكو مدريد 2026/27 الاحتياطي
product,atl-tico-madrid-2026-27-home-shirt,title,Atlético Madrid 2026/27 Home Shirt,قميص أتلتيكو مدريد 2026/27 الأساسي
product,australia-2025-26-home-shirt,title,Australia 2025/26 Home Shirt,قميص أستراليا 2025/26 الأساسي
collection,,title,Australia,أستراليا
product,australia-2026-home-shirt,title,Australia 2026 Home Shirt,قميص أستراليا 2026 الأساسي
product,australia-2026-27-away-shirt,title,Australia 2026/27 Away Shirt,قميص أستراليا 2026/27 الاحتياطي
product,australia-2026-27-home-shirt,title,Australia 2026/27 Home Shirt,قميص أستراليا 2026/27 الأساسي
